x,y,z
1.0,0.000548,0.0
0.997593,0.001191,0.0
0.990393,0.003099,0.0
0.978471,0.006214,0.0
0.961941,0.010439,0.0
0.940962,0.015644,0.0
0.915736,0.021681,0.0
0.886507,0.028283,0.0
0.853555,0.035174,0.0
0.817199,0.042299,0.0
0.777787,0.049126,0.0
0.7357,0.055175,0.0
0.691344,0.060277,0.0
0.645144,0.064789,0.0
0.597547,0.068551,0.0
0.549011,0.071465,0.0
0.5,0.07345,0.0
0.450993,0.074464,0.0
0.402456,0.074499,0.0
0.354859,0.073591,0.0
0.30866,0.071815,0.0
0.264303,0.069274,0.0
0.222216,0.06604,0.0
0.182804,0.062198,0.0
0.146447,0.057762,0.0
0.113495,0.052771,0.0
0.084266,0.047226,0.0
0.05904,0.041114,0.0
0.03806,0.034418,0.0
0.02153,0.02714,0.0
0.009607,0.019266,0.0
0.002408,0.010839,0.0
0.0,0.0,0.0
0.002408,-0.007695,0.0
0.009607,-0.015563,0.0
0.02153,-0.022735,0.0
0.03806,-0.028997,0.0
0.05904,-0.034457,0.0
0.084266,-0.039186,0.0
0.113495,-0.043259,0.0
0.146447,-0.046734,0.0
0.182804,-0.049646,0.0
0.222216,-0.052012,0.0
0.264303,-0.053822,0.0
0.30866,-0.055037,0.0
0.354859,-0.055602,0.0
0.402456,-0.055437,0.0
0.450993,-0.054479,0.0
0.5,-0.052711,0.0
0.549011,-0.050132,0.0
0.597547,-0.046857,0.0
0.645144,-0.042895,0.0
0.691344,-0.038417,0.0
0.7357,-0.03362,0.0
0.777787,-0.029048,0.0
0.817199,-0.024745,0.0
0.853555,-0.020469,0.0
0.886507,-0.016421,0.0
0.915736,-0.012715,0.0
0.940962,-0.009258,0.0
0.961941,-0.00623,0.0
0.978471,-0.003781,0.0
0.990393,-0.001972,0.0
0.997593,-0.000902,0.0
1.0,-0.000548,0.0
